pert_id	pert_iname
BRD-K46017542	BRD-K46017542
BRD-K49577446	flunisolide
BRD-K94176593	TWS-119
BRD-K92953840	BRD-K92953840
BRD-K06159959	CCMQ
BRD-A64290322	cyclosporin-a
BRD-K11634954	GBR-13069
BRD-K42098891	protriptyline
BRD-K90543092	levonorgestrel
BRD-A75931230	F-1061-0166
BRD-K96703623	BRD-K96703623
BRD-K31975688	BRD-K31975688
BRD-K17830172	BRD-K17830172
BRD-K06692906	Gossypetin
BRD-K68690198	BRD-K68690198
BRD-A91992993	siguazodan
BRD-A56359832	zileuton
BRD-K08316444	rotenone
BRD-K41713976	E-4031
BRD-A94413429	NTNCB
BRD-K69556541	ryanodine
BRD-K04676863	BRD-K04676863
BRD-K20352452	BRD-K20352452
BRD-K72420232	WZ-4002
BRD-K80184735	KUC104240N
BRD-A83326220	brazilin
BRD-A80383043	4-carboxy-3-hydroxyphenylglycine-(RS)
BRD-K79554012	BRD-K79554012
BRD-A92630576	trimebutine
BRD-K15054362	BRD-K15054362
BRD-A73859745	glycodeoxycholic-acid
BRD-K02275692	cefotiam
BRD-K24468827	BRD-K24468827
BRD-K64754843	BRD-K64754843
BRD-K15616905	CCCP
BRD-K84937637	sirolimus
BRD-K77790153	BRD-K77790153
BRD-K98546361	BRD-K98546361
BRD-K64409586	KU-C104488
BRD-A98431941	ephedrine
BRD-K28610502	RAN-05
BRD-K15588452	R-96544
BRD-K17743125	belinostat
BRD-A59943784	fluticasone
BRD-K42107428	BRD-K42107428
BRD-K15402119	huperzine-a
BRD-K95760042	BRD-K95760042
BRD-K79602928	metformin
BRD-K44812652	BRD-K44812652
BRD-A50311610	meclizine
BRD-K90090262	BRD-K90090262
BRD-K41227865	ST-4039884
BRD-K48673964	BRD-K48673964
BRD-K90553655	testosterone
BRD-K23875128	RHO-kinase-inhibitor-III[rockout]
BRD-K49519144	LY-2140023
BRD-K59024967	BRD-K59024967
BRD-A00474148	BRD-A00474148
BRD-K49403449	BRD-K49403449
BRD-K38910949	ST-4075437
BRD-K10466330	AVA
BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol
BRD-K13571841	pepstatin
BRD-K14945759	KU-C104127
BRD-A00626522	BRD-A00626522
BRD-K97631938	BRD-K97631938
BRD-K31706415	BRD-K31706415
BRD-K99595596	salsolinol
BRD-K27184429	levocetirizine
BRD-K19894101	MST-312
BRD-K43620258	CHEMBL-399379
BRD-A41649729	BRD-A41649729
BRD-K31268420	NSC-693868
BRD-K77554836	triamcinolone
BRD-K75295174	alisertib
BRD-K71860425	CDK2-5-inhibitor
BRD-K65639003	icariin
BRD-K45044657	BRD-K45044657
BRD-K15601958	SEW-2871
BRD-K37372998	BRD-K37372998
BRD-K36533576	KU-C103875
BRD-A39121618	BRD-A39121618
BRD-K61463582	BRD-K61463582
BRD-K06071925	BRD-K06071925
BRD-K78559095	BRD-K78559095
BRD-K81144366	moxisylyte
BRD-K98471960	BRD-K98471960
BRD-K98521173	desoxycortone
BRD-K00532621	midazolam
BRD-K55260239	BRD-K55260239
BRD-K73082558	BRD-K73082558
BRD-K49327517	THZ-2-98-01
BRD-K07516181	BRD-K07516181
BRD-K34388789	BRD-K34388789
BRD-K14993104	bemegride
BRD-K94381355	BRD-K94381355
BRD-K45542213	BRD-K45542213
BRD-A63043573	cabergoline
BRD-K68144790	glycodeoxycholic-acid
BRD-K68102868	BRD-K68102868
BRD-K43256821	BRD-K43256821
BRD-A33833419	TER-14687
BRD-K47695085	BRD-K47695085
BRD-K60667905	SA-427228
BRD-K65774694	BRD-K65774694
BRD-A96897502	U-74389F
BRD-K86048057	BRD-K86048057
BRD-K58601216	SA-1922927
BRD-K73276569	BRD-K73276569
BRD-K40892394	AR-C133057XX
BRD-K52850071	WHI-P154
BRD-K28112517	BRD-K28112517
