Gene	log2FC	pvalue	FDR	direction
1007_s_at	-0.02561281614141997	0.8664608415819427	0.9990466365428997	Not Sig
1053_at	-0.04347441959881948	0.5980281685018538	0.9990466365428997	Not Sig
117_at	0.17580583322671828	0.28785730029289985	0.9990466365428997	Not Sig
121_at	-0.10527698432435528	0.6620712188341434	0.9990466365428997	Not Sig
1294_at	0.11017404338965875	0.3704436410445081	0.9990466365428997	Not Sig
1316_at	-0.2064514706120999	0.4603162506746508	0.9990466365428997	Not Sig
1431_at	0.15453054730399662	0.2662062136876125	0.9990466365428997	Not Sig
1438_at	-0.6054766590438003	0.34798009125732887	0.9990466365428997	Not Sig
1487_at	0.12309346361667384	0.08592351168068729	0.8036079713515633	Not Sig
1494_f_at	-0.23784060760633619	0.39781605814461973	0.9990466365428997	Not Sig
1598_g_at	0.23709169934740792	0.14262186284321088	0.9192553441918213	Not Sig
160020_at	0.10893829892209705	0.4508888912402056	0.9990466365428997	Not Sig
1729_at	0.04402152936132442	0.5875080986693945	0.9990466365428997	Not Sig
1773_at	-0.046495826560565945	0.5362515265632289	0.9990466365428997	Not Sig
177_at	0.23182706635888906	0.02419391028194057	0.5206036382870508	Not Sig
179_at	-0.15963372681128618	0.42350765881704094	0.9990466365428997	Not Sig
1861_at	-0.03742050167924926	0.3902990737989466	0.9990466365428997	Not Sig
200000_s_at	0.08660902110525903	0.5175543750025082	0.9990466365428997	Not Sig
200001_at	0.1495847848180869	0.588969587659658	0.9990466365428997	Not Sig
200002_at	0.03912018851571908	0.7997893134606129	0.9990466365428997	Not Sig
200003_s_at	0.061612266499114554	0.6875259832170874	0.9990466365428997	Not Sig
200004_at	0.0025789283434178856	0.9849467616685482	0.999511572300808	Not Sig
200005_at	0.11103664511904121	0.6939519868121778	0.9990466365428997	Not Sig
200006_at	0.25146929454274236	0.284874482823813	0.9990466365428997	Not Sig
200007_at	-0.10581945890120892	0.14732922477387378	0.9259171737578552	Not Sig
200008_s_at	0.10491222547732804	0.693759812895859	0.9990466365428997	Not Sig
200009_at	0.12839955114789703	0.43622218776665056	0.9990466365428997	Not Sig
200010_at	0.13758268144466257	0.21893173245591882	0.989022481254466	Not Sig
200011_s_at	0.20244560587815386	0.4511277022073232	0.9990466365428997	Not Sig
200012_x_at	0.07825443171491919	0.24784833556466945	0.9990466365428997	Not Sig
200013_at	-0.06789395290387112	0.50865365268445	0.9990466365428997	Not Sig
200014_s_at	0.10204806994313387	0.5666271442314579	0.9990466365428997	Not Sig
200015_s_at	-0.0013804504435928067	0.9954944958248074	0.9995477718534194	Not Sig
200016_x_at	0.05396720634793262	0.5806975761191197	0.9990466365428997	Not Sig
200017_at	0.12541080894341228	0.39187844528657906	0.9990466365428997	Not Sig
200018_at	0.0322098245569169	0.730214307560249	0.9990466365428997	Not Sig
200019_s_at	0.06114375817691986	0.5514948697346888	0.9990466365428997	Not Sig
200020_at	-0.06497091012060174	0.7314221274013745	0.9990466365428997	Not Sig
200021_at	-0.13803536461536048	0.036238420363647404	0.6128415401444869	Not Sig
200022_at	0.019257226638931257	0.907903658735458	0.9990466365428997	Not Sig
200023_s_at	0.019852222872144054	0.896650486285917	0.9990466365428997	Not Sig
200024_at	-0.006360454845111718	0.9443563908061088	0.9990466365428997	Not Sig
200025_s_at	-0.10997666103404136	0.2843428945160382	0.9990466365428997	Not Sig
200026_at	0.059042893258142826	0.07530104072771393	0.7682747995308675	Not Sig
200027_at	0.2239316691182811	0.25808259776112297	0.9990466365428997	Not Sig
200028_s_at	0.14378280752107386	0.16215674743466274	0.9456380706180122	Not Sig
200029_at	0.009428127275512566	0.9081785462309637	0.9990466365428997	Not Sig
200030_s_at	0.05419967726948194	0.764470413295741	0.9990466365428997	Not Sig
200031_s_at	-0.2851253021806066	0.22960901238085607	0.995178149329956	Not Sig
200032_s_at	-0.03698740524358435	0.6399381463174095	0.9990466365428997	Not Sig
200033_at	-0.001475465624604766	0.9922413664687382	0.9995477718534194	Not Sig
200034_s_at	-0.014363712429565467	0.6518038521832124	0.9990466365428997	Not Sig
200035_at	-0.03901694851829962	0.8218264431375958	0.9990466365428997	Not Sig
200036_s_at	0.08555802605220109	0.6479017350748266	0.9990466365428997	Not Sig
200037_s_at	0.023935694491264314	0.9129424157421766	0.9990466365428997	Not Sig
200038_s_at	0.029123323356238018	0.5310083251238256	0.9990466365428997	Not Sig
200039_s_at	0.0054115972485817565	0.9815384463065248	0.999511572300808	Not Sig
200040_at	0.17351081584562245	0.4521622675001961	0.9990466365428997	Not Sig
200041_s_at	0.049797496493003024	0.7258247807832592	0.9990466365428997	Not Sig
200042_at	0.1948958725221388	0.11736448801818397	0.8758231136683297	Not Sig
200043_at	0.10533077537320246	0.49166686692604167	0.9990466365428997	Not Sig
200044_at	-0.01638674002477636	0.9215699125321037	0.9990466365428997	Not Sig
200045_at	-0.009696332145854747	0.9429633990572884	0.9990466365428997	Not Sig
200046_at	0.21108113724375244	0.4063927977866606	0.9990466365428997	Not Sig
200047_s_at	0.11599195648778604	0.5772813016818105	0.9990466365428997	Not Sig
200048_s_at	0.1278591768976316	0.3840889791496578	0.9990466365428997	Not Sig
200049_at	-0.07059583592755114	0.664445219858544	0.9990466365428997	Not Sig
200050_at	0.17850493713437565	0.19649795841908888	0.9720051144880861	Not Sig
200051_at	0.06965247664897323	0.7557362606090489	0.9990466365428997	Not Sig
200052_s_at	-0.3006278990451072	0.3373285282492606	0.9990466365428997	Not Sig
200053_at	-0.030433779932367955	0.7105466248775347	0.9990466365428997	Not Sig
200054_at	0.1282396419928329	0.6861918237074587	0.9990466365428997	Not Sig
200055_at	0.1255565756253887	0.441902250079438	0.9990466365428997	Not Sig
200056_s_at	0.05686606256378912	0.8206747667342441	0.9990466365428997	Not Sig
200057_s_at	0.008302477774575934	0.928785200320574	0.9990466365428997	Not Sig
200058_s_at	0.023149354792748156	0.8782114388432959	0.9990466365428997	Not Sig
200059_s_at	0.13470529381740448	0.2365998475642431	0.9973773060510956	Not Sig
200060_s_at	0.08104693567255694	0.41294374087859254	0.9990466365428997	Not Sig
200061_s_at	-0.13886795496985016	0.032648813545837554	0.5944635617967717	Not Sig
200062_s_at	0.0062901544510456375	0.9068640946801448	0.9990466365428997	Not Sig
200063_s_at	-0.1271107564546039	0.1725360566938605	0.9503030674032243	Not Sig
200064_at	0.0384034370011026	0.7718879681510804	0.9990466365428997	Not Sig
200065_s_at	-0.054524709419336403	0.8670734976847688	0.9990466365428997	Not Sig
200066_at	0.24762006314764484	0.3766858477872461	0.9990466365428997	Not Sig
200067_x_at	0.05867584446519736	0.6306387165418843	0.9990466365428997	Not Sig
200068_s_at	0.22893636023576036	0.1497252399283143	0.9259171737578552	Not Sig
200069_at	0.2276990654128772	0.33171046002545246	0.9990466365428997	Not Sig
200070_at	-0.14314486714196928	0.6562710109479404	0.9990466365428997	Not Sig
200071_at	0.033810214996179866	0.8894227491582556	0.9990466365428997	Not Sig
200072_s_at	0.03245795776552285	0.8724743202356811	0.9990466365428997	Not Sig
200073_s_at	0.1382655992329198	0.4580252136563028	0.9990466365428997	Not Sig
200074_s_at	0.09143572837175284	0.3159689505148969	0.9990466365428997	Not Sig
200075_s_at	-0.11436293195868252	0.7954846744035264	0.9990466365428997	Not Sig
200076_s_at	0.02305643157108328	0.8374497493524214	0.9990466365428997	Not Sig
200077_s_at	-0.05628395580239065	0.6522442658241814	0.9990466365428997	Not Sig
200078_s_at	0.0394849004411153	0.9289904162528676	0.9990466365428997	Not Sig
200079_s_at	0.16097954769159273	0.547583262961401	0.9990466365428997	Not Sig
200080_s_at	0.034872556384616615	0.8277595290393586	0.9990466365428997	Not Sig
200081_s_at	-0.07946048571342601	0.4036588181630807	0.9990466365428997	Not Sig
200082_s_at	0.14295954824906865	0.3060364450372753	0.9990466365428997	Not Sig
200083_at	0.013987686562591861	0.9101519288680554	0.9990466365428997	Not Sig
200084_at	-0.07960154886595916	0.779313873678057	0.9990466365428997	Not Sig
200085_s_at	0.022142298634825863	0.8738623542513425	0.9990466365428997	Not Sig
200086_s_at	0.24108170672519869	0.1110293314197352	0.8637874876077597	Not Sig
200087_s_at	0.2936735756214297	0.25039973467745685	0.9990466365428997	Not Sig
200088_x_at	0.07484010159275023	0.539403520777599	0.9990466365428997	Not Sig
200089_s_at	0.1353659498770181	0.29943271039921204	0.9990466365428997	Not Sig
200090_at	0.07217483800487301	0.5416165327792981	0.9990466365428997	Not Sig
200091_s_at	0.0021017393494222603	0.9882682522326243	0.9995477718534194	Not Sig
200092_s_at	0.11017775060462576	0.24025010719269277	0.9978235149813873	Not Sig
200093_s_at	0.04402646887854189	0.6333193004087844	0.9990466365428997	Not Sig
200094_s_at	0.1826678808886264	0.38115956692470065	0.9990466365428997	Not Sig
200095_x_at	0.0030463627209691424	0.977648930236579	0.9990466365428997	Not Sig
200096_s_at	-0.08028710999163557	0.7992081514906759	0.9990466365428997	Not Sig
200097_s_at	0.14949645347276252	0.11076731039026963	0.8637874876077597	Not Sig
200098_s_at	-0.021402659618614095	0.8872492662599126	0.9990466365428997	Not Sig
200099_s_at	0.08253791261581611	0.39213361888418125	0.9990466365428997	Not Sig
200593_s_at	0.03558561310611097	0.8536801545217878	0.9990466365428997	Not Sig
200594_x_at	0.026461749812030533	0.8774390807822833	0.9990466365428997	Not Sig
200595_s_at	0.10714106723242978	0.6028428946727864	0.9990466365428997	Not Sig
200596_s_at	-0.07037178152949508	0.769401132299001	0.9990466365428997	Not Sig
200597_at	0.28383591582397116	0.043309721562751494	0.6639266069301892	Not Sig
200598_s_at	-0.16318185382842643	0.658307845027469	0.9990466365428997	Not Sig
200599_s_at	-0.04655746466452371	0.6900838085505345	0.9990466365428997	Not Sig
200600_at	0.19942711738861973	0.43217386087719184	0.9990466365428997	Not Sig
200601_at	-0.3277274039676854	0.11296177991753364	0.8664880867241666	Not Sig
200602_at	0.24788531060106678	0.41546550824806705	0.9990466365428997	Not Sig
200603_at	0.2888320259856769	0.20647416167778368	0.9809632690637178	Not Sig
200604_s_at	-0.2703523858930872	0.4970222374461058	0.9990466365428997	Not Sig
200605_s_at	0.28517114222965034	0.3395240006444319	0.9990466365428997	Not Sig
200606_at	-0.15620673193109091	0.4394390103516214	0.9990466365428997	Not Sig
200607_s_at	-0.3547252306669382	0.34639155832746393	0.9990466365428997	Not Sig
200608_s_at	0.08411747262380587	0.7302658830386483	0.9990466365428997	Not Sig
200609_s_at	-0.0957958596352757	0.3508345198446992	0.9990466365428997	Not Sig
200610_s_at	0.12432533848640404	0.544785173136708	0.9990466365428997	Not Sig
200611_s_at	-0.20417094613993925	0.439930857137985	0.9990466365428997	Not Sig
