Gene	log2FC	pvalue	FDR	direction	Symbol
1007_s_at	-0.0256128161414199	0.8664608415819427	0.9990466365428996	Not Sig	DDR1
1053_at	-0.0434744195988194	0.5980281685018538	0.9990466365428996	Not Sig	RFC2
117_at	0.1758058332267182	0.2878573002928998	0.9990466365428996	Not Sig	HSPA6
121_at	-0.1052769843243552	0.6620712188341434	0.9990466365428996	Not Sig	PAX8
1294_at	0.1101740433896587	0.3704436410445081	0.9990466365428996	Not Sig	MIR5193
1316_at	-0.2064514706120999	0.4603162506746508	0.9990466365428996	Not Sig	THRA
1431_at	0.1545305473039966	0.2662062136876125	0.9990466365428996	Not Sig	CYP2E1
1438_at	-0.6054766590438003	0.3479800912573288	0.9990466365428996	Not Sig	EPHB3
1487_at	0.1230934636166738	0.0859235116806872	0.8036079713515633	Not Sig	ESRRA
1494_f_at	-0.2378406076063361	0.3978160581446197	0.9990466365428996	Not Sig	CYP2A6
1598_g_at	0.2370916993474079	0.1426218628432108	0.9192553441918212	Not Sig	GAS6
160020_at	0.108938298922097	0.4508888912402056	0.9990466365428996	Not Sig	MMP14
1729_at	0.0440215293613244	0.5875080986693945	0.9990466365428996	Not Sig	TRADD
1773_at	-0.0464958265605659	0.5362515265632289	0.9990466365428996	Not Sig	CHURC1-FNTB
177_at	0.231827066358889	0.0241939102819405	0.5206036382870508	Not Sig	PLD1
179_at	-0.1596337268112861	0.4235076588170409	0.9990466365428996	Not Sig	DTX2P1-UPK3BP1-PMS2P11
1861_at	-0.0374205016792492	0.3902990737989466	0.9990466365428996	Not Sig	BAD
200000_s_at	0.086609021105259	0.5175543750025082	0.9990466365428996	Not Sig	PRPF8
200001_at	0.1495847848180869	0.588969587659658	0.9990466365428996	Not Sig	CAPNS1
200002_at	0.039120188515719	0.7997893134606129	0.9990466365428996	Not Sig	RPL35
200003_s_at	0.0616122664991145	0.6875259832170874	0.9990466365428996	Not Sig	MIR6805
200004_at	0.0025789283434178	0.9849467616685482	0.999511572300808	Not Sig	EIF4G2
200005_at	0.1110366451190412	0.6939519868121778	0.9990466365428996	Not Sig	EIF3D
200006_at	0.2514692945427423	0.284874482823813	0.9990466365428996	Not Sig	PARK7
200007_at	-0.1058194589012089	0.1473292247738737	0.9259171737578552	Not Sig	SRP14
200008_s_at	0.104912225477328	0.693759812895859	0.9990466365428996	Not Sig	GDI2
200009_at	0.128399551147897	0.4362221877666505	0.9990466365428996	Not Sig	GDI2
200010_at	0.1375826814446625	0.2189317324559188	0.989022481254466	Not Sig	RPL11
200011_s_at	0.2024456058781538	0.4511277022073232	0.9990466365428996	Not Sig	ARF3
200012_x_at	0.0782544317149191	0.2478483355646694	0.9990466365428996	Not Sig	RPL21
200013_at	-0.0678939529038711	0.50865365268445	0.9990466365428996	Not Sig	RPL24
200014_s_at	0.1020480699431338	0.5666271442314579	0.9990466365428996	Not Sig	HNRNPC
200015_s_at	-0.0013804504435928	0.9954944958248074	0.9995477718534194	Not Sig	SEPT2
200016_x_at	0.0539672063479326	0.5806975761191197	0.9990466365428996	Not Sig	HNRNPA1
200017_at	0.1254108089434122	0.391878445286579	0.9990466365428996	Not Sig	RPS27A
200018_at	0.0322098245569169	0.730214307560249	0.9990466365428996	Not Sig	LOC100508408
200019_s_at	0.0611437581769198	0.5514948697346888	0.9990466365428996	Not Sig	FAU
200020_at	-0.0649709101206017	0.7314221274013745	0.9990466365428996	Not Sig	TARDBP
200021_at	-0.1380353646153604	0.0362384203636474	0.6128415401444869	Not Sig	CFL1
200022_at	0.0192572266389312	0.907903658735458	0.9990466365428996	Not Sig	RPL18
200023_s_at	0.019852222872144	0.896650486285917	0.9990466365428996	Not Sig	EIF3F
200024_at	-0.0063604548451117	0.9443563908061088	0.9990466365428996	Not Sig	RPS5
200025_s_at	-0.1099766610340413	0.2843428945160382	0.9990466365428996	Not Sig	RPL27
200026_at	0.0590428932581428	0.0753010407277139	0.7682747995308675	Not Sig	RPL34
200027_at	0.2239316691182811	0.2580825977611229	0.9990466365428996	Not Sig	NARS
200028_s_at	0.1437828075210738	0.1621567474346627	0.9456380706180122	Not Sig	STARD7
200029_at	0.0094281272755125	0.9081785462309636	0.9990466365428996	Not Sig	RPL19
200030_s_at	0.0541996772694819	0.764470413295741	0.9990466365428996	Not Sig	SLC25A3
200031_s_at	-0.2851253021806066	0.229609012380856	0.995178149329956	Not Sig	RPS11
200032_s_at	-0.0369874052435843	0.6399381463174095	0.9990466365428996	Not Sig	RPL9
200033_at	-0.0014754656246047	0.9922413664687382	0.9995477718534194	Not Sig	DDX5
200034_s_at	-0.0143637124295654	0.6518038521832124	0.9990466365428996	Not Sig	RPL6
200035_at	-0.0390169485182996	0.8218264431375958	0.9990466365428996	Not Sig	CTDNEP1
200036_s_at	0.085558026052201	0.6479017350748266	0.9990466365428996	Not Sig	RPL10A
200037_s_at	0.0239356944912643	0.9129424157421766	0.9990466365428996	Not Sig	CBX3
200038_s_at	0.029123323356238	0.5310083251238256	0.9990466365428996	Not Sig	C18orf32
200039_s_at	0.0054115972485817	0.9815384463065248	0.999511572300808	Not Sig	PSMB2
200040_at	0.1735108158456224	0.4521622675001961	0.9990466365428996	Not Sig	KHDRBS1
200041_s_at	0.049797496493003	0.7258247807832592	0.9990466365428996	Not Sig	ATP6V1G2-DDX39B
200042_at	0.1948958725221388	0.1173644880181839	0.8758231136683297	Not Sig	RTCB
200043_at	0.1053307753732024	0.4916668669260416	0.9990466365428996	Not Sig	ERH
200044_at	-0.0163867400247763	0.9215699125321036	0.9990466365428996	Not Sig	GATC
200045_at	-0.0096963321458547	0.9429633990572884	0.9990466365428996	Not Sig	ABCF1
200046_at	0.2110811372437524	0.4063927977866606	0.9990466365428996	Not Sig	DAD1
200047_s_at	0.115991956487786	0.5772813016818105	0.9990466365428996	Not Sig	YY1
200048_s_at	0.1278591768976316	0.3840889791496578	0.9990466365428996	Not Sig	JTB
200049_at	-0.0705958359275511	0.664445219858544	0.9990466365428996	Not Sig	KAT7
200050_at	0.1785049371343756	0.1964979584190888	0.972005114488086	Not Sig	ZNF146
200051_at	0.0696524766489732	0.7557362606090489	0.9990466365428996	Not Sig	SART1
200052_s_at	-0.3006278990451072	0.3373285282492606	0.9990466365428996	Not Sig	ILF2
200053_at	-0.0304337799323679	0.7105466248775347	0.9990466365428996	Not Sig	SPAG7
200054_at	0.1282396419928329	0.6861918237074587	0.9990466365428996	Not Sig	ZPR1
200055_at	0.1255565756253887	0.441902250079438	0.9990466365428996	Not Sig	TAF10
200056_s_at	0.0568660625637891	0.8206747667342441	0.9990466365428996	Not Sig	C1D
200057_s_at	0.0083024777745759	0.928785200320574	0.9990466365428996	Not Sig	NONO
200058_s_at	0.0231493547927481	0.8782114388432959	0.9990466365428996	Not Sig	LOC101929240
200059_s_at	0.1347052938174044	0.2365998475642431	0.9973773060510956	Not Sig	RHOA
200060_s_at	0.0810469356725569	0.4129437408785925	0.9990466365428996	Not Sig	RNPS1
200061_s_at	-0.1388679549698501	0.0326488135458375	0.5944635617967717	Not Sig	RPS24
200062_s_at	0.0062901544510456	0.9068640946801448	0.9990466365428996	Not Sig	RPL30
200063_s_at	-0.1271107564546039	0.1725360566938605	0.9503030674032245	Not Sig	NPM1
200064_at	0.0384034370011026	0.7718879681510804	0.9990466365428996	Not Sig	HSP90AB1
200065_s_at	-0.0545247094193364	0.8670734976847688	0.9990466365428996	Not Sig	ARF1
200066_at	0.2476200631476448	0.3766858477872461	0.9990466365428996	Not Sig	IK
200067_x_at	0.0586758444651973	0.6306387165418843	0.9990466365428996	Not Sig	SNX3
200068_s_at	0.2289363602357603	0.1497252399283143	0.9259171737578552	Not Sig	CANX
200069_at	0.2276990654128772	0.3317104600254524	0.9990466365428996	Not Sig	SART3
200070_at	-0.1431448671419692	0.6562710109479404	0.9990466365428996	Not Sig	CNPPD1
200071_at	0.0338102149961798	0.8894227491582556	0.9990466365428996	Not Sig	SMNDC1
