ID_REF	GSM1627296	GSM1627297	GSM1627298	GSM1627299	GSM1627300	GSM1627301
ILMN_1343291	14.78776095	14.78776095	14.8810386	14.81617531	14.84290893	14.81617531
ILMN_1343295	12.97129284	12.82369275	12.89796694	12.91290241	12.87612764	12.57394447
ILMN_1651199	5.540144382	5.815608084	5.528553594	5.511884167	5.860431305	5.779763659
ILMN_1651209	5.863009595	5.828777797	5.66160442	6.16354707	5.857846102	5.915332661
ILMN_1651210	5.744204635	5.682276167	5.454193896	5.521736909	5.690029309	5.635880946
ILMN_1651221	6.069306903	6.132118353	6.153587233	6.204087946	6.057165483	6.014481852
ILMN_1651228	13.41719344	13.45887139	12.96855429	13.53006785	13.30915514	13.40317041
ILMN_1651229	8.111161375	8.143986189	8.029999513	8.59656317	8.538323727	8.213669859
ILMN_1651230	5.777616227	5.662005978	5.777129494	5.883327622	5.741262893	5.728248961
ILMN_1651232	6.39146107	6.562982964	6.512408634	5.992499599	6.0980885	6.024396566
ILMN_1651235	5.863009595	5.826371184	5.676143018	5.821278122	6.043255573	5.680996263
ILMN_1651236	5.72147072	5.603416867	5.777129494	5.765889589	5.706407128	5.925140063
ILMN_1651237	7.295920268	7.346809375	7.420874584	6.535247583	6.515506445	6.464042318
ILMN_1651238	5.429572104	5.729359646	5.6276937	5.543068389	5.377282045	5.503454075
ILMN_1651249	5.712629459	5.478562221	5.556911448	5.853555075	5.851052309	5.690714114
ILMN_1651253	5.642470437	5.61201269	5.753085014	5.669358729	5.706407128	5.598588201
ILMN_1651254	12.19319764	12.21296591	12.24513035	11.61710765	11.6787603	11.76258542
ILMN_1651259	6.21704042	6.625001973	6.314408827	6.286898649	6.513730036	6.232218461
ILMN_1651260	5.569025408	5.771755767	5.667010075	5.089580084	5.662255098	5.27047945
ILMN_1651262	11.75387034	11.65556149	11.80890126	11.31235892	11.24972791	11.33282333
ILMN_1651268	6.124160724	6.067252805	6.151552987	6.106460908	6.005583235	6.208947455
ILMN_1651278	8.221394354	8.380004021	8.285602726	8.143986189	8.128064595	8.281408996
ILMN_1651279	6.134896261	5.83901033	5.833729685	6.342693825	5.963792136	5.799382075
ILMN_1651281	5.445074283	5.494847217	5.531525764	5.511884167	5.433064171	5.460171537
ILMN_1651282	5.985894728	5.833949619	6.036112126	6.079158378	6.209793851	6.060606791
ILMN_1651285	5.939170346	5.965892521	5.913099499	6.248211507	6.069306903	6.17640756
ILMN_1651286	5.68404517	5.428020479	5.44324915	5.335530344	5.404398942	5.598588201
ILMN_1651288	6.687303939	6.883397993	6.505897223	6.741396271	6.84991219	6.817991655
ILMN_1651292	5.516301876	5.014835404	5.404101871	5.378060885	5.537033832	5.453435398
ILMN_1651296	6.973109351	6.808178032	6.980891648	6.157339617	6.126128303	5.984802341
ILMN_1651303	5.865491735	5.777129494	5.531525764	5.747008534	5.733252035	5.806629393
ILMN_1651309	5.556361947	5.488871467	5.545761708	5.54054339	5.717615247	5.464896582
ILMN_1651310	5.525997343	5.609342685	5.782021324	5.63602523	5.789600154	5.491115383
ILMN_1651315	11.17019345	11.16182464	11.14951569	10.78236881	10.76923095	10.64068491
ILMN_1651316	5.786520782	5.679336017	5.984802341	5.855823251	5.945006695	5.844909036
ILMN_1651325	5.509013421	5.606250033	5.416381242	5.749685828	5.366597476	5.537590722
ILMN_1651328	6.056294168	5.871302244	6.018068037	6.110737844	6.126128303	6.179814981
ILMN_1651329	5.836307346	5.908044081	5.994149896	5.737256706	5.9406798	5.66841539
ILMN_1651330	5.559405999	5.497762946	5.397898068	5.57611372	5.418080112	5.248640554
ILMN_1651336	6.23023488	6.18919796	6.390853043	6.673452812	6.722391438	6.764336891
