Gene	log2FC	pvalue	FDR	direction
A_19_P00315452	-0.0017857142857131691	0.9881404562906598	0.9970559965938403	Not Sig
A_19_P00315459	0.01564285714285596	0.8751871256520363	0.9622236739980671	Not Sig
A_19_P00315482	0.06942857142857184	0.7756933031882477	0.9259830813644384	Not Sig
A_19_P00315492	-0.06378571428571433	0.828595705152661	0.9454992295368636	Not Sig
A_19_P00315493	0.015000000000000568	0.8826936432477347	0.9642923359479687	Not Sig
A_19_P00315502	-0.02478571428571552	0.891259054919568	0.9670354296969307	Not Sig
A_19_P00315506	0.02292857142857052	0.8592242639846805	0.9569740994931561	Not Sig
A_19_P00315518	-0.12185714285714333	0.34239850876326716	0.7021843335618949	Not Sig
A_19_P00315519	0.01392857142857129	0.8590615056617888	0.9569740994931561	Not Sig
A_19_P00315524	0.49457142857142955	0.007916976326509957	0.12823781117178146	Up
A_19_P00315528	0.4142142857142854	0.12757166385052282	0.4939807960070325	Not Sig
A_19_P00315529	0.16471428571428648	0.6165923606473475	0.8545387015226507	Not Sig
A_19_P00315538	-0.01350000000000029	0.9322218237744446	0.9813835518039011	Not Sig
A_19_P00315541	-0.029357142857142193	0.7012454685677033	0.8955433690556396	Not Sig
A_19_P00315543	-0.09914285714285764	0.41618769390905785	0.7438236519546084	Not Sig
A_19_P00315550	-0.009571428571431895	0.8708821271729507	0.9608826989420838	Not Sig
A_19_P00315551	0.03985714285714437	0.43443209988990233	0.7550088166073421	Not Sig
A_19_P00315554	-0.24007142857142894	0.20465735480852518	0.5887112235314462	Not Sig
A_19_P00315581	-0.12757142857142867	0.07874916454082591	0.4022214961627209	Not Sig
A_19_P00315583	0.02928571428571214	0.8442988612555029	0.9513420847602502	Not Sig
A_19_P00315584	0.08150000000000013	0.59814359086051	0.8456968139544175	Not Sig
A_19_P00315587	0.40057142857143013	0.4563918739225634	0.7675794246287215	Not Sig
A_19_P00315593	-0.4424285714285716	0.05998487629803357	0.354916353655526	Not Sig
A_19_P00315601	0.042571428571427816	0.5375028339689414	0.8121214985280958	Not Sig
A_19_P00315603	0.066357142857143	0.3462177346608047	0.7046337181202552	Not Sig
A_19_P00315625	-0.30214285714285727	0.20871845082321952	0.5930304542590669	Not Sig
A_19_P00315627	-0.1672142857142851	0.43826499597206986	0.7569719462531495	Not Sig
A_19_P00315631	0.16685714285714282	0.518847384609862	0.8024394127180018	Not Sig
A_19_P00315633	0.4684999999999997	0.11819651216556663	0.4772219842703297	Not Sig
A_19_P00315641	0.23435714285714138	0.1472592472738796	0.5210725404344456	Not Sig
A_19_P00315647	0.607499999999999	0.00022530928540549967	0.024500644700609978	Up
A_19_P00315649	0.3240714285714281	0.01971298887846581	0.20170626026410765	Up
A_19_P00315651	-0.17900000000000116	0.39923081534587823	0.7348647868087278	Not Sig
A_19_P00315668	-0.08999999999999986	0.2777855428521778	0.6559357374383586	Not Sig
A_19_P00315691	-0.19878571428571412	0.31507033286183694	0.6843123709102938	Not Sig
A_19_P00315693	-0.24292857142857205	0.0011063745724628768	0.0497554413985235	Not Sig
A_19_P00315705	-0.5305	0.003231407122086281	0.08372142645670945	Down
A_19_P00315716	-0.041714285714285815	0.6844832902094337	0.8869600030088393	Not Sig
A_19_P00315717	-0.11335714285714538	0.015122711269291293	0.17713528432204542	Not Sig
A_19_P00315718	-0.0718571428571444	0.07914956194248209	0.4030780692995714	Not Sig
A_19_P00315725	0.34664285714285703	0.3264347680990601	0.6914076372420352	Not Sig
A_19_P00315738	-0.012999999999999012	0.8331565152090438	0.9474493854549119	Not Sig
A_19_P00315753	0.010142857142859008	0.8552340104720717	0.9554483512852076	Not Sig
A_19_P00315759	-0.22985714285714254	0.44039272327494744	0.7584242063793463	Not Sig
A_19_P00315764	-0.22035714285714292	0.05707493725794294	0.34660065241364985	Not Sig
A_19_P00315773	-0.3381428571428575	0.12825839717857768	0.49505143128488716	Not Sig
A_19_P00315780	0.009000000000003006	0.914498610514714	0.9759062328463524	Not Sig
A_19_P00315789	0.00742857142857134	0.9018001304197307	0.9707660332550369	Not Sig
A_19_P00315790	-0.14292857142857085	0.2931027187274114	0.6681355173725552	Not Sig
A_19_P00315791	-0.04914285714285738	0.7055429132818756	0.8974931002773994	Not Sig
A_19_P00315798	-0.48007142857143137	3.155706957153185e-05	0.011030392807544472	Down
A_19_P00315804	-0.0002857142857140005	0.9989308635997254	1.0	Not Sig
A_19_P00315810	-0.07257142857142984	0.32926228984698813	0.6938877603457339	Not Sig
A_19_P00315824	0.18750000000000178	0.38561931763473106	0.7262841648963222	Not Sig
A_19_P00315826	-0.14442857142857113	0.7077939594169514	0.8981392817747251	Not Sig
A_19_P00315841	0.24207142857142872	0.11545112614160932	0.47295582171315753	Not Sig
A_19_P00315843	0.2952857142857148	0.0013070851132937337	0.0542563429951403	Not Sig
A_19_P00315863	1.1384285714285722	2.494562090155507e-07	0.0021501121379947086	Up
A_19_P00315868	-0.01385714285714279	0.9232484976441183	0.9786173453785256	Not Sig
A_19_P00315869	-0.11885714285714322	0.206890993278041	0.5906748092472436	Not Sig
A_19_P00315900	0.014214285714285513	0.9511824144597384	0.9870509787183871	Not Sig
A_19_P00315905	0.02657142857142869	0.9490269832647676	0.9865154663496158	Not Sig
A_19_P00315913	0.0462142857142851	0.7391370122729983	0.911260295764126	Not Sig
A_19_P00315914	-0.15814285714285603	0.2214861764235217	0.6069144206799454	Not Sig
A_19_P00315922	0.18242857142857094	0.27794002391693967	0.6561096437382921	Not Sig
A_19_P00315936	-0.04399999999999871	0.5566294238906311	0.8234073651899895	Not Sig
A_19_P00315941	0.19671428571428606	0.21014307056146772	0.5940402774092107	Not Sig
A_19_P00315956	0.28042857142857036	0.2703212262641306	0.6496273126424474	Not Sig
A_19_P00315959	-0.0756428571428569	0.406850001677587	0.7386580683129798	Not Sig
A_19_P00315963	-0.012285714285714455	0.8602261810617333	0.957455464492731	Not Sig
A_19_P00315967	-0.12214285714286	0.3759819606048642	0.720995798515658	Not Sig
A_19_P00316000	0.10814285714285621	0.33585485076003324	0.6986878217407858	Not Sig
A_19_P00316007	0.05735714285714266	0.5043403857424867	0.7944578585169402	Not Sig
A_19_P00316012	0.37757142857142867	0.005927919385559161	0.11116279925801517	Up
A_19_P00316013	0.34585714285714353	0.28869128497056024	0.6648339327687796	Not Sig
A_19_P00316014	0.3610000000000002	0.05666116013378853	0.3454538168002892	Not Sig
A_19_P00316034	0.06021428571428622	0.24190136650041857	0.6254610222600099	Not Sig
A_19_P00316035	-0.3258571428571426	0.19974806416667898	0.5835898458426729	Not Sig
A_19_P00316050	0.07871428571428485	0.5158976606160113	0.8006548881508616	Not Sig
A_19_P00316063	0.25278571428571617	2.7043915495655506e-05	0.010414623866265904	Not Sig
A_19_P00316105	0.17650000000000343	0.00238281796901558	0.07201232843355175	Not Sig
A_19_P00316107	0.16321428571428598	0.0005364196355382039	0.03567687402892388	Not Sig
A_19_P00316109	0.05907142857142844	0.6937584895026587	0.891832399484351	Not Sig
