Gene	log2FC	pvalue	FDR	direction	Symbol
A_19_P00315452	-0.0017857142857131	0.9881404562906598	0.9970559965938404	Not Sig	LOC100130938
A_19_P00315482	0.0694285714285718	0.7756933031882477	0.9259830813644384	Not Sig	LOC729177
A_19_P00315492	-0.0637857142857143	0.828595705152661	0.9454992295368636	Not Sig	Q73P46
A_19_P00315493	0.0150000000000005	0.8826936432477347	0.9642923359479688	Not Sig	LOC145474
A_19_P00315502	-0.0247857142857155	0.891259054919568	0.9670354296969308	Not Sig	P01115
A_19_P00315506	0.0229285714285705	0.8592242639846805	0.956974099493156	Not Sig	KIAA0040
A_19_P00315518	-0.1218571428571433	0.3423985087632671	0.7021843335618949	Not Sig	XLOC_005810
A_19_P00315519	0.0139285714285712	0.8590615056617888	0.956974099493156	Not Sig	XLOC_004914
A_19_P00315524	0.4945714285714295	0.0079169763265099	0.1282378111717814	Up	MIAT
A_19_P00315528	0.4142142857142854	0.1275716638505228	0.4939807960070325	Not Sig	XLOC_008370
A_19_P00315529	0.1647142857142864	0.6165923606473475	0.8545387015226507	Not Sig	XLOC_008370
A_19_P00315541	-0.0293571428571421	0.7012454685677033	0.8955433690556396	Not Sig	LOC100507428
A_19_P00315543	-0.0991428571428576	0.4161876939090578	0.7438236519546084	Not Sig	LOC100132354
A_19_P00315550	-0.0095714285714318	0.8708821271729507	0.9608826989420838	Not Sig	LOC400043
A_19_P00315551	0.0398571428571443	0.4344320998899023	0.7550088166073421	Not Sig	LOC400043
A_19_P00315554	-0.2400714285714289	0.2046573548085251	0.5887112235314462	Not Sig	XLOC_006756
A_19_P00315581	-0.1275714285714286	0.0787491645408259	0.4022214961627209	Not Sig	FLJ30838
A_19_P00315583	0.0292857142857121	0.8442988612555029	0.9513420847602502	Not Sig	LOC100130691
A_19_P00315584	0.0815000000000001	0.59814359086051	0.8456968139544175	Not Sig	LOC100130691
A_19_P00315587	0.4005714285714301	0.4563918739225634	0.7675794246287215	Not Sig	LOC100506924
A_19_P00315593	-0.4424285714285716	0.0599848762980335	0.354916353655526	Not Sig	XLOC_004643
A_19_P00315601	0.0425714285714278	0.5375028339689414	0.8121214985280958	Not Sig	XLOC_l2_015760
A_19_P00315603	0.066357142857143	0.3462177346608047	0.7046337181202552	Not Sig	XLOC_l2_015760
A_19_P00315625	-0.3021428571428572	0.2087184508232195	0.5930304542590669	Not Sig	XLOC_005441
A_19_P00315627	-0.1672142857142851	0.4382649959720698	0.7569719462531495	Not Sig	XLOC_l2_015098
A_19_P00315631	0.1668571428571428	0.518847384609862	0.8024394127180018	Not Sig	XLOC_l2_013734
A_19_P00315641	0.2343571428571413	0.1472592472738796	0.5210725404344456	Not Sig	XLOC_008079
A_19_P00315647	0.607499999999999	0.0002253092854054	0.0245006447006099	Up	LOC100507165
A_19_P00315649	0.3240714285714281	0.0197129888784658	0.2017062602641076	Up	LOC100507165
A_19_P00315651	-0.1790000000000011	0.3992308153458782	0.7348647868087278	Not Sig	LOC100652730
A_19_P00315668	-0.0899999999999998	0.2777855428521778	0.6559357374383586	Not Sig	HIPK2
A_19_P00315691	-0.1987857142857141	0.3150703328618369	0.6843123709102938	Not Sig	XLOC_l2_013734
A_19_P00315693	-0.242928571428572	0.0011063745724628	0.0497554413985235	Not Sig	TUG1
A_19_P00315705	-0.5305	0.0032314071220862	0.0837214264567094	Down	XLOC_005981
A_19_P00315716	-0.0417142857142858	0.6844832902094337	0.8869600030088393	Not Sig	SNORA71A
A_19_P00315717	-0.1133571428571453	0.0151227112692912	0.1771352843220454	Not Sig	FAM200B
A_19_P00315718	-0.0718571428571444	0.079149561942482	0.4030780692995714	Not Sig	FAM200B
A_19_P00315725	0.346642857142857	0.3264347680990601	0.6914076372420352	Not Sig	Q8VGA8
A_19_P00315738	-0.012999999999999	0.8331565152090438	0.947449385454912	Not Sig	LOC100506342
A_19_P00315753	0.010142857142859	0.8552340104720717	0.9554483512852076	Not Sig	LOC344595
A_19_P00315759	-0.2298571428571425	0.4403927232749474	0.7584242063793463	Not Sig	FLJ43663
A_19_P00315764	-0.2203571428571429	0.0570749372579429	0.3466006524136498	Not Sig	LOC644277
A_19_P00315773	-0.3381428571428575	0.1282583971785776	0.4950514312848871	Not Sig	Q6LRY1
A_19_P00315780	0.009000000000003	0.914498610514714	0.9759062328463524	Not Sig	LOC100506342
A_19_P00315789	0.0074285714285713	0.9018001304197308	0.9707660332550369	Not Sig	LOC339894
A_19_P00315790	-0.1429285714285708	0.2931027187274114	0.6681355173725552	Not Sig	LOC339894
A_19_P00315791	-0.0491428571428573	0.7055429132818756	0.8974931002773994	Not Sig	LOC339894
A_19_P00315798	-0.4800714285714313	3.155706957153185e-05	0.0110303928075444	Down	LOC100506374
A_19_P00315804	-0.000285714285714	0.9989308635997254	1.0	Not Sig	FLJ35024
A_19_P00315810	-0.0725714285714298	0.3292622898469881	0.6938877603457339	Not Sig	XLOC_001906
A_19_P00315824	0.1875000000000017	0.385619317634731	0.7262841648963222	Not Sig	LOC100505495
A_19_P00315826	-0.1444285714285711	0.7077939594169514	0.8981392817747251	Not Sig	XLOC_001148
A_19_P00315841	0.2420714285714287	0.1154511261416093	0.4729558217131575	Not Sig	XLOC_002249
