Dataset	Gene	AGA_log2FC	AGA_padj	AGA_Direction	Li_Direction	Li_Rescue	Zn_Direction	Zn_Rescue
GSE90594	WNT10B	-0.1310714285714276		DOWN	Not in top 500	None	Not in top 500	None
GSE90594	LEF1	-0.3852142857142873		DOWN	Not in top 500	None	Not in top 500	None
GSE90594	CTNNB1	-0.36024999999999885		DOWN	Not in top 500	None	Not in top 500	None
GSE90594	DKK1	0.0814999999999992		UP	Not in top 500	None	Not in top 500	None
GSE90594	DKK2	0.2671428571428578		UP	Not in top 500	None	Not in top 500	None
GSE90594	ALPL	-0.1054999999999992		DOWN	UP	Yes	DOWN	No (Exacerbates)
GSE90594	SOX2	0.1895714285714289		UP	Not in top 500	None	Not in top 500	None
GSE90594	VCAN	0.0453571428571422		UP	UP	No (Exacerbates)	Not in top 500	None
GSE36169	WNT10B			Not Found	N/A	N/A	N/A	N/A
GSE36169	LEF1	-1.7742609370403857		DOWN	Not in top 500	None	Not in top 500	None
GSE36169	CTNNB1	-0.5425729552532381		DOWN	Not in top 500	None	Not in top 500	None
GSE36169	DKK1	-0.0236389399397665		DOWN	Not in top 500	None	Not in top 500	None
GSE36169	DKK2	0.6196479139019182		UP	Not in top 500	None	Not in top 500	None
GSE36169	ALPL	-0.0480977276297469		DOWN	UP	Yes	DOWN	No (Exacerbates)
GSE36169	SOX2			Not Found	N/A	N/A	N/A	N/A
GSE36169	VCAN	0.03492114106107064		UP	UP	No (Exacerbates)	Not in top 500	None
GSE66663	WNT10B	0.0255175426666678		UP	Not in top 500	None	Not in top 500	None
GSE66663	LEF1	1.2300323520000003		UP	Not in top 500	None	Not in top 500	None
GSE66663	CTNNB1	0.14159139023809492		UP	Not in top 500	None	Not in top 500	None
GSE66663	DKK1	-0.8871437731666667		DOWN	Not in top 500	None	Not in top 500	None
GSE66663	DKK2	-0.44975768716666664		DOWN	Not in top 500	None	Not in top 500	None
GSE66663	ALPL	1.996786760333333		UP	UP	No (Exacerbates)	DOWN	Yes
GSE66663	SOX2	-0.050128918833333404		DOWN	Not in top 500	None	Not in top 500	None
GSE66663	VCAN	2.4775021786666684		UP	UP	No (Exacerbates)	Not in top 500	None
