condition	N	k_datasets	median_percentile	mean_percentile	fisher_chi2	fisher_p	stouffer_z	stouffer_p	I2
Li_Zn	100	3	86.5	79.83	13.893	0.030855	1.9337	0.053156	0.0747
Li_Zn	300	3	91.5	90.0	17.1304	0.008816	2.5776	0.009948	0.0
GSK3_Zn	100	3	89.0	86.67	13.9874	0.029778	2.138	0.032514	0.0
GSK3_Zn	300	3	98.5	95.17	21.1448	0.001728	3.1832	0.001457	0.0
Li	100	3	20.5	34.33	3.7253	0.71379	-1.1767	0.239313	0.5284
Li	300	3	5.5	24.83	2.3116	0.888931	-1.7783	0.075352	0.3565
Zn_proxy	100	3	54.5	54.67	4.721	0.58006	0.1916	0.848038	0.0
Zn_proxy	300	3	56.0	50.67	4.3084	0.635024	0.0159	0.987292	0.0
GSK3	100	3	20.0	21.17	1.43	0.964007	-1.4115	0.158099	0.0
GSK3	300	3	36.5	36.5	2.7136	0.843834	-0.6079	0.543254	0.0
