dataset	N	pert_id	pert_iname	score	is_target
GSE90594	100	Li	Li	1.8141428571428557	1
GSE90594	100	Zn_proxy	Zn_proxy	3.074095238095234	1
GSE90594	100	GSK3	GSK3	2.1593547619047633	1
GSE90594	100	Li_Zn	Li_Zn	4.88823809523809	1
GSE90594	100	GSK3_Zn	GSK3_Zn	5.233449999999997	1
GSE90594	100	BRD-K46017542	BRD-K46017542	3.8654285714285788	0
GSE90594	100	BRD-K49577446	flunisolide	5.233214285714282	0
GSE90594	100	BRD-K94176593	TWS-119	2.170892857142862	0
GSE90594	100	BRD-K92953840	BRD-K92953840	3.25645833333333	0
GSE90594	100	BRD-K06159959	CCMQ	2.151226190476186	0
GSE90594	100	BRD-A64290322	cyclosporin-a	1.318857142857142	0
GSE90594	100	BRD-K11634954	GBR-13069	2.385678571428572	0
GSE90594	100	BRD-K42098891	protriptyline	1.049267857142858	0
GSE90594	100	BRD-K90543092	levonorgestrel	3.4661428571428563	0
GSE90594	100	BRD-A75931230	F-1061-0166	3.9196785714285696	0
GSE90594	100	BRD-K96703623	BRD-K96703623	1.8151428571428594	0
GSE90594	100	BRD-K31975688	BRD-K31975688	2.626023809523813	0
GSE90594	100	BRD-K17830172	BRD-K17830172	8.377047619047616	0
GSE90594	100	BRD-K06692906	Gossypetin	1.5510357142857152	0
GSE90594	100	BRD-K68690198	BRD-K68690198	5.80692857142857	0
GSE90594	100	BRD-A91992993	siguazodan	3.7843928571428567	0
GSE90594	100	BRD-A56359832	zileuton	2.1843690476190467	0
GSE90594	100	BRD-K08316444	rotenone	1.3804857142857145	0
GSE90594	100	BRD-K41713976	E-4031	3.239565476190478	0
GSE90594	100	BRD-A94413429	NTNCB	0.6370357142857115	0
GSE90594	100	BRD-K69556541	ryanodine	2.935571428571432	0
GSE90594	100	BRD-K04676863	BRD-K04676863	3.158839285714289	0
GSE90594	100	BRD-K20352452	BRD-K20352452	2.5882857142857136	0
GSE90594	100	BRD-K72420232	WZ-4002	2.533678571428572	0
GSE90594	100	BRD-K80184735	KUC104240N	2.097464285714287	0
GSE90594	100	BRD-A83326220	brazilin	2.356664285714284	0
GSE90594	100	BRD-A80383043	4-carboxy-3-hydroxyphenylglycine-(RS)	6.698142857142858	0
GSE90594	100	BRD-K79554012	BRD-K79554012	2.2037678571428536	0
GSE90594	100	BRD-A92630576	trimebutine	5.364886904761902	0
GSE90594	100	BRD-K15054362	BRD-K15054362	3.1496428571428554	0
GSE90594	100	BRD-A73859745	glycodeoxycholic-acid	5.043035714285709	0
GSE90594	100	BRD-K02275692	cefotiam	3.148440476190473	0
GSE90594	100	BRD-K24468827	BRD-K24468827	2.21203571428572	0
GSE90594	100	BRD-K64754843	BRD-K64754843	2.734589285714287	0
GSE90594	100	BRD-K15616905	CCCP	3.9216285714285695	0
GSE90594	100	BRD-K84937637	sirolimus	1.2620714285714278	0
GSE90594	100	BRD-K77790153	BRD-K77790153	2.259535714285714	0
GSE90594	100	BRD-K98546361	BRD-K98546361	3.365642857142855	0
GSE90594	100	BRD-K64409586	KU-C104488	1.3936071428571404	0
GSE90594	100	BRD-A98431941	ephedrine	4.31664285714286	0
GSE90594	100	BRD-K28610502	RAN-05	2.2042142857142837	0
GSE90594	100	BRD-K15588452	R-96544	5.557357142857143	0
GSE90594	100	BRD-K17743125	belinostat	1.7235714285714239	0
GSE90594	100	BRD-A59943784	fluticasone	3.9645452380952384	0
GSE90594	100	BRD-K42107428	BRD-K42107428	1.3330000000000015	0
GSE90594	100	BRD-K15402119	huperzine-a	3.8854761904761896	0
GSE90594	100	BRD-K95760042	BRD-K95760042	0.3574642857142851	0
GSE90594	100	BRD-K79602928	metformin	2.402905612244896	0
GSE90594	100	BRD-K44812652	BRD-K44812652	2.125642857142863	0
GSE90594	100	BRD-A50311610	meclizine	3.740749999999998	0
GSE90594	100	BRD-K90090262	BRD-K90090262	2.738821428571428	0
GSE90594	100	BRD-K41227865	ST-4039884	3.5019285714285706	0
GSE90594	100	BRD-K48673964	BRD-K48673964	0.7519642857142861	0
GSE90594	100	BRD-K90553655	testosterone	5.948119047619052	0
GSE90594	100	BRD-K23875128	RHO-kinase-inhibitor-III[rockout]	2.3072619047619045	0
GSE90594	100	BRD-K49519144	LY-2140023	5.259660714285714	0
GSE90594	100	BRD-K59024967	BRD-K59024967	2.424696428571422	0
GSE90594	100	BRD-A00474148	BRD-A00474148	1.6364642857142875	0
GSE90594	100	BRD-K49403449	BRD-K49403449	5.40039285714285	0
GSE90594	100	BRD-K38910949	ST-4075437	4.1572261904761945	0
GSE90594	100	BRD-K10466330	AVA	2.5629285714285683	0
GSE90594	100	BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	2.805797619047618	0
GSE90594	100	BRD-K13571841	pepstatin	3.159428571428571	0
GSE90594	100	BRD-K14945759	KU-C104127	5.9944642857142805	0
GSE90594	100	BRD-A00626522	BRD-A00626522	1.6873928571428582	0
GSE90594	100	BRD-K97631938	BRD-K97631938	3.0814738095238097	0
GSE90594	100	BRD-K31706415	BRD-K31706415	2.1809857142857147	0
GSE90594	100	BRD-K99595596	salsolinol	3.6027857142857203	0
GSE90594	100	BRD-K27184429	levocetirizine	2.242428571428574	0
GSE90594	100	BRD-K19894101	MST-312	1.7016071428571395	0
GSE90594	100	BRD-K43620258	CHEMBL-399379	0.8119142857142848	0
GSE90594	100	BRD-A41649729	BRD-A41649729	3.9721666666666637	0
GSE90594	100	BRD-K31268420	NSC-693868	3.996557142857144	0
GSE90594	100	BRD-K77554836	triamcinolone	3.7010476190476194	0
GSE90594	100	BRD-K75295174	alisertib	3.722761904761907	0
GSE90594	100	BRD-K71860425	CDK2-5-inhibitor	1.2296071428571396	0
GSE90594	100	BRD-K65639003	icariin	3.0436547619047594	0
GSE90594	100	BRD-K45044657	BRD-K45044657	1.8712499999999963	0
GSE90594	100	BRD-K15601958	SEW-2871	3.8554404761904753	0
GSE90594	100	BRD-K37372998	BRD-K37372998	3.321809523809524	0
GSE90594	100	BRD-K36533576	KU-C103875	2.1986964285714294	0
GSE90594	100	BRD-A39121618	BRD-A39121618	5.780297619047629	0
GSE90594	100	BRD-K61463582	BRD-K61463582	4.08720833333333	0
GSE90594	100	BRD-K06071925	BRD-K06071925	3.351297619047619	0
GSE90594	100	BRD-K78559095	BRD-K78559095	4.346285714285714	0
GSE90594	100	BRD-K81144366	moxisylyte	2.226952380952381	0
GSE90594	100	BRD-K98471960	BRD-K98471960	5.761773809523811	0
GSE90594	100	BRD-K98521173	desoxycortone	4.492666666666667	0
GSE90594	100	BRD-K00532621	midazolam	2.3723690476190455	0
GSE90594	100	BRD-K55260239	BRD-K55260239	5.516267857142858	0
